"Idade da Mãe";"Nordeste";"Sudeste"
"10 a 14 anos";9213;6067
"15 a 19 anos";158615;155271
"20 a 24 anos";212364;265309
"25 a 29 anos";184702;273644
"30 a 34 anos";141960;248554
"35 a 39 anos";70707;143265
"40 a 44 anos";17351;33315
"45 a 49 anos";1104;1933
"50 a 54 anos";68;95
